Produit de consommation,Eau virtuelle (litres),Source
1 jeans,9982,consoglobe.com
1 kg de coton,5260,consoglobe.com
1 kg de maïs ensilage,238,consoglobe.com
1 kg de maïs grain,454,consoglobe.com
1 kg d’orge,524,consoglobe.com
1 kg de pomme de terre,590,consoglobe.com
1 kg de blé,590,consoglobe.com
1 kg de soja,590,consoglobe.com
1 kg de riz pluvial,1600,consoglobe.com
1 kg de riz inondé,5000,consoglobe.com
1 kg de coton,5263,consoglobe.com
